triangle_id,point_1_x,point_1_y,point_1_z,point_2_x,point_2_y,point_2_z,point_3_x,point_3_y,point_3_z
172,576,200,-4.6919945510835115,580,200,-4.628464527078909,580,196,-4.668909870559652
173,580,196,-4.668909870559652,584,196,-4.591958157433502,584,192,-4.627760382796565
174,544,184,-4.839417238612316,544,188,-4.839156089193576,548,188,-4.838710533329087
175,556,200,-4.801136940977826,560,204,-4.759266763827299,560,200,-4.797427557885847
176,544,192,-4.833340124440936,548,196,-4.819124571178776,548,192,-4.832903970351416
177,548,192,-4.832903970351416,548,196,-4.819124571178776,552,196,-4.822557943270894
178,552,196,-4.822557943270894,552,200,-4.797884580988302,556,200,-4.801136940977826
179,556,200,-4.801136940977826,556,204,-4.763341543259722,560,204,-4.759266763827299
180,564,160,-4.557148049591272,560,160,-4.523102277079113,560,164,-4.611468251354586
181,556,160,-4.488625951288505,552,164,-4.547964287742081,556,164,-4.57772019065217
182,556,164,-4.57772019065217,552,164,-4.547964287742081,552,168,-4.637806756912216
183,552,168,-4.637806756912216,548,168,-4.616027485285155,548,172,-4.70819030950404
184,544,172,-4.6972587072077365,544,176,-4.791331432738847,548,172,-4.70819030950404
185,548,172,-4.70819030950404,544,176,-4.791331432738847,548,176,-4.802584401316652
186,588,172,-4.6763856322227095,584,168,-4.7466080626710445,584,172,-4.742052537566328
187,584,172,-4.742052537566328,584,168,-4.7466080626710445,580,168,-4.766264966438626
188,580,168,-4.766264966438626,580,164,-4.691630262681428,576,164,-4.695888609043875
189,552,164,-4.547964287742081,548,168,-4.616027485285155,552,168,-4.637806756912216
190,584,168,-4.7466080626710445,580,164,-4.691630262681428,580,168,-4.766264966438626
191,576,164,-4.695888609043875,572,160,-4.60643005299237,572,164,-4.689292412408574
192,588,192,-4.539112393888816,588,188,-4.572210836713966,584,192,-4.627760382796565
193,584,192,-4.627760382796565,588,188,-4.572210836713966,584,188,-4.658245770568119
194,580,200,-4.628464527078909,584,196,-4.591958157433502,580,196,-4.668909870559652
